code,description
24022-6,Deprecated S pneum14 Ab Ser-mCnc
24023-4,Deprecated S pneum3 Ab Ser-mCnc
24025-9,Deprecated S pneum8 Ab Ser-mCnc
24027-5,S pneum Ag Ur Ql
24079-6,Cholest Est Fib-cCnt
24080-4,Cholest Est WBC-cCnt
24081-2,DHAP AcylCoA AT Fib-cCnt
24082-0,Gal1PUT RBC-cCnt
24108-3,Cancer Ag19-9 SerPl-aCnc
24109-1,Progest Sal-sCnc
2411-7,Hexokinase1 CFr RBC
24113-3,HBV core IgM SerPl Ql IA
2412-5,Hexokinase3 CFr RBC
24152-1,Deprecated A alternata IgG Qn
24167-9,Deprecated Rat IgE Qn
24175-2,HAdV Ab sp1 Titr Ser CF
24176-0,HAdV Ab sp2 Titr Ser CF
24177-8,CV B1 Ab sp1 Titr Ser CF
24178-6,CV B1 Ab sp2 Titr Ser CF
24181-0,CV B2 Ab sp1 Titr Ser CF
24182-8,CV B2 Ab sp2 Titr Ser CF
24185-1,CV B3 Ab sp1 Titr Ser CF
24190-1,CV B4 Ab sp2 Titr Ser CF
24198-4,CV B6 Ab sp2 Titr Ser CF
24215-6,FLUAV Ab sp1 Titr Ser CF
24216-4,FLUAV Ab sp2 Titr Ser CF
24217-2,FLUBV Ab sp1 Titr Ser CF
24218-0,FLUBV Ab sp2 Titr Ser CF
24222-2,HPIV3 Ab sp1 Titr Ser CF
24223-0,HPIV3 Ab sp2 Titr Ser CF
24225-5,RSV Ab sp2 Titr Ser CF
24226-3,CV A10 Ab sp1 Titr Ser CF
24227-1,CV A10 Ab sp2 Titr Ser CF
24230-5,CV A7 Ab sp1 Titr Ser CF
24231-3,CV A7 Ab sp2 Titr Ser CF
24232-1,CV A9 Ab sp1 Titr Ser CF
24233-9,CV A9 Ab sp2 Titr Ser CF
24236-2,M pneumo Ab sp1 Titr Ser CF
24237-0,M pneumo Ab sp2 Titr Ser CF
2425-7,HAL Ser-cCnc
2428-1,Hcys SerPl-mCnc
24289-1,FLUAV Ab sp1 Titr Ser
24290-9,FLUAV Ab sp2 Titr Ser
24291-7,FLUBV Ab sp1 Titr Ser
24292-5,FLUBV Ab sp2 Titr Ser
24313-9,Hepatitis 1996 panel
24332-9,Alkaline phosphatase isoenz panel
24333-7,Amylase isoenz 3 panel
24334-5,Amylase isoenz 7 panel
24335-2,Creatine kinase panel
24336-0,Gas panel
24341-0,Gas & CO panel
24346-9,Parathyrin.intact & Calcium panel
24347-7,Parathyrin.mid molecule & Calcium panel
24348-5,Free T4 & TSH panel
24353-5,Glucose tolerance 2H gestational panel
24355-0,Urinalysis macroscopic panel
24356-8,Urinalysis complete panel
24357-6,Urinalysis macro (dipstick) panel
24360-0,Hemoglobin & Hematocrit panel
24363-4,Acute hepatitis 2000 panel
24365-9,Urinalysis microscopic panel
24373-3,Ferritin Bld-mCnc
24382-4,Neut Assoc Ab Ser
24389-9,Cortis pre 250 ug ACTH IM SerPl-sCnc
24390-7,Cortis 30M p 250 ug ACTH IM SerPl-sCnc
24391-5,Cortis 1h p 250 ug ACTH IM SerPl-sCnc
24392-3,Cortis pre 1 mg Dex SerPl-sCnc
24393-1,Cortis 10h p 1 mg Dex SerPl-sCnc
24394-9,Cortis 17h p 1 mg Dex SerPl-sCnc
24395-6,Cortis 24h p 1 mg Dex SerPl-sCnc
24414-5,Estradiol BS SerPl-mCnc
24430-1,S suis Sertyp Islt Aggl
24437-6,Butyrylgly/Creat Ur-sRto
24439-2,Isobutyrylgly/Creat Ur-sRto
24440-0,Isovalerylgly/Creat Ur-sRto
24442-6,Propionylgly/Creat Ur-sRto
24445-9,Valerylgly/Creat Ur-sRto
24447-5,Magnesium 24h Ur-mRate
24465-7,UUN 12h Ur-mRate
24467-3,CD3+CD4+ Cells # Bld
24469-9,Hgb XXX MFr Bld Elph
24470-7,Hgb A2+XXX MFr Bld Elph
24485-5,Mold Allerg Mix1 IgE RAST
24518-3,Calcium/Creat Ur-sRto
24519-1,Phosphate Bld-sCnc
24520-9,Phosphate RBC-sCnc
24522-5,Epineph/Creat Ur-sRto
24523-3,Norepineph/Creat Ur-sRto
2454-7,HPRT RBC-cCnc
2470-3,IgG/Alb CSF
2481-0,Insulin Ab Ser Ql
24819-5,Deprecated Liver+Spleen NM W Tc99mCa col
2482-8,Insulin Ab Ser-mCnc
2483-6,IGF BP3 SerPl-mCnc
2484-4,IGF-I SerPl-mCnc
2485-1,IGF-II SerPl-mCnc
2497-6,Iron Hair-mCnt
2498-4,Iron SerPl-mCnc
2499-2,Iron 24h Ur-mRate
2500-7,TIBC SerPl-mCnc
2501-5,UIBC SerPl-mCnc
2502-3,Iron Satn MFr SerPl
2503-1,Iron Chelated Ur-mCnc
2504-9,Iron Ur-mCnc
2505-6,Iron/TIBC SerPl
25090-2,Benzoate/Creat Ur-sRto
25091-0,C peptide/Creat Ur-sRto
25098-5,Ethanolamine/Creat Ur-sRto
25103-3,Glutaconate/Creat Ur-sRto
25106-6,Glycolate/Creat Ur-sRto
25107-4,Glyoxylate/Creat Ur-sRto
25108-2,OH-Decanedioate/Creat Ur-sRto
25109-0,OH-Lysine/Creat Ur-sRto
25110-8,OH-Proline/Creat Ur-sRto
25111-6,Isocitrate/Creat Ur-sRto
25112-4,Lactate/Creat Ur-sRto
25113-2,Malate/Creat Ur-sRto
25127-2,Phosphate/Creat 24h Ur-sRto
25129-8,PYD/Creat Ur-sRto
25133-0,Sarcosine/Creat Ur-sRto
25135-5,Suberate/Creat Ur-sRto
25137-1,Succinylacetone/Creat Ur-sRto
25138-9,Taurine/Creat Ur-sRto
25139-7,Tryptophan/Creat Ur-sRto
25140-5,Uracil/Creat Ur-sRto
25146-2,Bilirub Cry #/area UrnS HPF
25147-0,Ca Carbonate Cry #/area UrnS HPF
25148-8,CaOx Cry #/area UrnS HPF
25149-6,Ca Phos Cry #/area UrnS HPF
25150-4,Ca Sulfate Cry #/area UrnS HPF
25153-8,Cholest Cry #/area UrnS HPF
25156-1,Eosinophil UrnS Ql Micro
2518-9,Lactate BldA-sCnc
2519-7,Lactate BldV-sCnc
2520-5,Lactate CSF-sCnc
2521-3,Lactate Gast Ql
2522-1,Lactate Plr-sCnc
25228-8,Vancomycin Islt Slgr Mcbct AB 30.0
2523-9,Lactate Prt-sCnc
2524-7,Lactate SerPl-sCnc
2525-4,Lactate Snv-sCnc
2526-2,Lactate 24h Ur-mRate
2527-0,LDH Amn-cCnc
2528-8,LDH CSF-cCnc
25287-4,Deprecated S pneum19 IgG sp1 Ser-aCnc
25288-2,Deprecated S pneum19 IgG sp2 Ser-aCnc
2529-6,LDH Fld-cCnc
25290-8,Deprecated S pneum14 IgG sp1 Ser-aCnc
25291-6,Deprecated S pneum14 IgG sp2 Ser-aCnc
25292-4,Deprecated S pneum12 IgG sp1 Ser-aCnc
25294-0,Deprecated S pneum 1 IgG sp2 Ser-aCnc
25295-7,S pneum Da 6B IgG Ser-aCnc
25296-5,S pneum Da 7F IgG Ser-mCnc
25297-3,HPIV1 Ab sp2 Titr Ser CF
2530-4,LDH Plr-cCnc
25306-2,Deprecated A alternata IgG Ser-aCnc
25307-0,Deprecated A alternata IgG RAST Ser Ql
25308-8,Ammonia 24h Ur-sRate
2531-2,LDH Prt-cCnc
25311-2,Amylase 24h Ur-cCnc
25312-0,Amylase P CFr SerPl
25313-8,Amylase S CFr SerPl
2532-0,LDH SerPl-cCnc
25324-5,Arsenic/Creat Ur-sRto
2533-8,LDH Snv-cCnc
2534-6,LDH Ur-cCnc
2535-3,LDH1 SerPl Chem Sepn-cCnc
25358-3,C peptide 24h Ur-sRate
2536-1,LDH1 CFr SerPl Elph
25362-5,Calcium 24h Ur-sCnc
25363-3,C fetus Ab Titr Ser CF
25364-1,C jejuni Ab Titr Ser CF
2537-9,LDH1 SerPl-cCnc
25371-6,VLDLc SerPl-sCnc
2538-7,LDH2 SerPl Chem Sepn-cCnc
25386-4,Creat Fld-sCnc
2539-5,LDH2 CFr SerPl Elph
25395-5,Deprecated Dog Serum Alb IgE RAST Ql
2540-3,LDH2 SerPl-cCnc
25401-1,Estradiol 24h Ur-sRate
25405-2,Ethanolamine 24h Ur-sRate
2541-1,LDH3 SerPl Chem Sepn-cCnc
25415-1,Folate Bld-sCnc
2542-9,LDH3 CFr SerPl Elph
25428-4,Glucose Ur Ql Strip
2543-7,LDH3 SerPl-cCnc
25433-4,Hgb Free Plas-sCnc
2544-5,LDH4 SerPl Chem Sepn-cCnc
25447-4,Insulin Free SerPl-sCnc
2545-2,LDH4 CFr SerPl Elph
2546-0,LDH4 SerPl-cCnc
25461-5,"Lithium, Bld-sCnc"
25462-3,Lithium RBC-sCnc
25463-1,Lithium Ur-sCnc
2547-8,LDH5 SerPl Chem Sepn-cCnc
2548-6,LDH5 CFr SerPl Elph
2549-4,LDH5 SerPl-cCnc
2550-2,Lactate/Pyruvate Bld-sRto
25501-8,Phosphate Fld-sCnc
25506-7,Potassium Stl-sCnt
25508-3,Progest sp2 p chal SerPl-sCnc
25509-1,Progest sp3 p chal SerPl-sCnc
25528-1,IGF SerPl-sCnc
25531-5,S pneum Ab Ser-mCnc
25532-3,Deprecated Swine Serum Alb IgE RAST Ql
25543-0,Lipase 24h Ur-cRate
2555-1,LCAT SerPl-cCnc
25564-6,Bilirub Direct Fld-sCnc
25568-7,C peptide sp10 p chal SerPl-sCnc
25569-5,C peptide sp11 p chal SerPl-sCnc
25570-3,C peptide sp12 p chal SerPl-sCnc
25571-1,C peptide sp13 p chal SerPl-sCnc
25572-9,C peptide sp14 p chal SerPl-sCnc
25573-7,C peptide sp15 p chal SerPl-sCnc
25574-5,C peptide sp1 p chal SerPl-sCnc
25575-2,C peptide sp2 p chal SerPl-sCnc
25576-0,C peptide sp3 p chal SerPl-sCnc
25577-8,C peptide sp4 p chal SerPl-sCnc
25578-6,C peptide sp5 p chal SerPl-sCnc
25579-4,C peptide sp6 p chal SerPl-sCnc
25580-2,C peptide sp7 p chal SerPl-sCnc
25581-0,C peptide sp8 p chal SerPl-sCnc
25582-8,C peptide sp9 p chal SerPl-sCnc
25583-6,Calcium RBC-sCnc
25584-4,Calcium 5h p 500 mg Ca PO Ur-sCnc
25585-1,Deprecated Cat Serum Alb IgE RAST Ql
25617-2,Deprecated Cortis SerPl-sCnc
25618-0,Cortis sp1 p chal SerPl-sCnc
25619-8,Cortis sp2 p chal SerPl-sCnc
25620-6,Deprecated Cortis SerPl-sCnc
25621-4,Cortis sp3 p chal SerPl-sCnc
25622-2,Cortis sp4 p chal SerPl-sCnc
25623-0,Cortis sp5 p chal SerPl-sCnc
25624-8,Cortis sp6 p chal SerPl-sCnc
25625-5,Cortis sp7 p chal SerPl-sCnc
25626-3,Cortis 8h p 2 mg Dex SerPl-sCnc
25627-1,Cortis sp8 p chal SerPl-sCnc
25628-9,Cortis sp9 p chal SerPl-sCnc
25629-7,Deprecated Cortis SerPl-sCnc
25638-8,ECP-mCnc
2565-0,Deprecated Cholest SerPl-mCnc
25663-6,Glucose 15M p Glc SerPl-sCnc
25664-4,Glucose 1h p Glc Ur-mCnc
25666-9,Glucose 2.5h p Glc SerPl-sCnc
25667-7,Glucose 2h p Glc Ur-mCnc
25669-3,Glucose 3.5h p Glc SerPl-sCnc
25670-1,Glucose 30M p Glc Ur-mCnc
25672-7,Glucose 4.5h p Glc SerPl-sCnc
25673-5,Glucose 45M p Glc SerPl-sCnc
25675-0,Glucose 4h p Glc Ur-mCnc
25676-8,Glucose 5.5h p Glc SerPl-sCnc
25677-6,Glucose 6h p Glc SerPl-sCnc
25678-4,Glucose 1.5h p Glc Ur-mCnc
25680-0,Glucose pre 50 g Glc PO SerPl-sCnc
25685-9,Insulin sp10 p chal SerPl-sCnc
25686-7,Insulin sp11 p chal SerPl-sCnc
25687-5,Insulin sp12 p chal SerPl-sCnc
25688-3,Insulin sp13 p chal SerPl-sCnc
25689-1,Insulin sp14 p chal SerPl-sCnc
25690-9,Insulin sp15 p chal SerPl-sCnc
25691-7,Insulin sp1 p chal SerPl-sCnc
25692-5,Insulin sp2 p chal SerPl-sCnc
25693-3,Insulin sp3 p chal SerPl-sCnc
25694-1,Insulin sp4 p chal SerPl-sCnc
25695-8,Insulin sp5 p chal SerPl-sCnc
25696-6,Insulin 7.5h p chal SerPl-sCnc
25697-4,Insulin sp7 p chal SerPl-sCnc
25698-2,Insulin sp8 p chal SerPl-sCnc
25699-0,Insulin sp9 p chal SerPl-sCnc
25705-5,Ketones 1h p 50 g Glc PO Ur Ql
25706-3,Ketones 2h p Glc Ur Strip-mCnc
25707-1,Ketones 4h p Glc Ur Strip-mCnc
25709-7,L inter Canic Ab Titr Ser CF
2571-8,Trigl SerPl-mCnc
25710-5,L inter Grip Ab Titr Ser CF
25711-3,L inter Icter Ab Titr Ser CF
25712-1,L inter Pomon Ab Titr Ser CF
2572-6,LPL SerPl-cCnc
2573-4,HDL SerPl-mCnc
25734-5,Prolactin 10M p 200 ug TRH IV SerPl-mCnc
25735-2,Prolactin 1h p 200 ug TRH IV SerPl-mCnc
25736-0,Prolactin sp1 p chal SerPl-mCnc
25737-8,Prolactin 20M p 200 ug TRH IV SerPl-mCnc
25738-6,Prolactin 2h p 200 ug TRH IV SerPl-mCnc
25739-4,Prolactin 30M p 200 ug TRH IV SerPl-mCnc
2574-2,LDL SerPl-mCnc
25740-2,Prolactin 40M p 200 ug TRH IV SerPl-mCnc
25741-0,Prolactin 50M p 200 ug TRH IV SerPl-mCnc
25745-1,Rheumatoid fact Fld Ql Shp Aggl
25746-9,Rheumatoid fact Titr Fld Shp Aggl
2575-9,VLDL SerPl-mCnc
25758-4,IGF sp10 p chal SerPl-sCnc
25759-2,IGF sp11 p chal SerPl-sCnc
2576-7,LP SerPl-mCnc
25760-0,IGF sp12 p chal SerPl-sCnc
25761-8,IGF sp13 p chal SerPl-sCnc
25762-6,IGF sp14 p chal SerPl-sCnc
25763-4,IGF sp1 p chal SerPl-sCnc
25764-2,IGF sp2 p chal SerPl-sCnc
25765-9,IGF sp3 p chal SerPl-sCnc
25766-7,IGF sp4 p chal SerPl-sCnc
25767-5,IGF sp5 p chal SerPl-sCnc
25768-3,IGF sp6 p chal SerPl-sCnc
25769-1,IGF sp7 p chal SerPl-sCnc
25770-9,IGF sp8 p chal SerPl-sCnc
25771-7,IGF sp9 p chal SerPl-sCnc
25790-7,T4 Free sp1 p chal SerPl-sCnc
25791-5,T4 Free sp2 p chal SerPl-sCnc
25792-3,T4 Free sp3 p chal SerPl-sCnc
25793-1,T4 Free sp4 p chal SerPl-sCnc
25794-9,T4 Free sp5 p chal SerPl-sCnc
25795-6,T4 Free sp6 p chal SerPl-sCnc
25796-4,T4 Free sp7 p chal SerPl-sCnc
25797-2,T4 Free sp8 p chal SerPl-sCnc
25798-0,T4 Free sp9 p chal SerPl-sCnc
25803-8,T3Free sp1 p chal SerPl-sCnc
25804-6,T3Free sp2 p chal SerPl-sCnc
25805-3,T3Free sp3 p chal SerPl-sCnc
25806-1,T3Free sp4 p chal SerPl-sCnc
25807-9,T3Free sp5 p chal SerPl-sCnc
25808-7,T3Free sp6 p chal SerPl-sCnc
25809-5,T3Free sp7 p chal SerPl-sCnc
25810-3,T3Free sp8 p chal SerPl-sCnc
25811-1,T3Free sp9 p chal SerPl-sCnc
25835-0,HIV1 RNA SerPl Ql NAA+probe
25836-8,HIV1 RNA # Spec NAA+probe
25841-8,HIV 2 proviral DNA Bld Ql NAA+probe
25842-6,HIV 2 proviral DNA Spec Ql NAA+probe
25850-9,Ammonia 24h Ur-sCnc
25851-7,Ammonia/Creat 24h Ur-sRto
25872-3,C peptide 24h Ur-sCnc
25873-1,Calcium pre 500 mg Ca PO Ur-sCnc
2588-2,Lysolecithin AT RBC-cCnc
25880-6,Copper/Creat Ur-sRto
25882-2,Cortis F 24h Ur RIA-sCnc
25883-0,Cortis F 24h Ur HPLC-sCnc
25884-8,Cortis F 24h Ur RIA-sRate
25885-5,Cortis F 24h Ur HPLC-sRate
25899-6,D-Lactate sp1 p Exc SerPl-sCnc
25900-2,D-Lactate sp2 p Exc SerPl-sCnc
25901-0,D-Lactate sp3 p Exc SerPl-sCnc
25902-8,D-Lactate sp4 p Exc SerPl-sCnc
25903-6,D-Lactate sp5 p Exc SerPl-sCnc
25904-4,D-Lactate sp6 p Exc SerPl-sCnc
25905-1,D-Lactate pre Exc SerPl-sCnc
25910-1,Ethanolamine 24h Ur-sCnc
25911-9,Ethanolamine/Creat 24h Ur-sRto
25916-8,Glucose 24h Ur-sCnc
2593-2,Magnesium Bld-sCnc
25937-4,Iron 24h Ur-sCnc
2594-0,Magnesium CSF-sCnc
25940-8,L borgp Sej Ab Titr Ser CF
2595-7,Magnesium Dial fld-sCnc
25954-9,Magnesium 24h Ur-sCnc
2596-5,Magnesium Fld-sCnc
2597-3,Magnesium RBC-sCnc
25973-9,Phosphate 24h Ur-sCnc
2598-1,Magnesium Ur-sCnc
25986-1,Testost 24h Ur-sCnc
25987-9,Testost Free SerPl RIA-sCnc
2599-9,Magnesium 24h Ur-sRate
25992-9,Lipase 24h Ur-cCnc
2600-5,Mg Ionized SerPl-sCnc
2601-3,Magnesium SerPl-sCnc
26010-9,ALP Other CFr SerPl
26011-7,Macroamylase CFr SerPl
26014-1,Arbovirus Ab Titr Ser CF
26015-8,HDL2c SerPl-sCnc
26016-6,HDL2c SerPl.Ultracent-mCnc
26017-4,HDL3c SerPl-sCnc
26019-0,CK Macro1 CFr SerPl
26020-8,CK Macro2 CFr SerPl
26022-4,EV Ab Titr Ser CF
26034-9,Deprecated Prot Ur Elph-mCnc
26058-8,TBEV Ab Titr Ser CF
2614-6,MetHgb MFr Bld
2615-3,MetHgb MFr BldA
2616-1,MetHgb MFr BldC
2617-9,MetHgb MFr BldV
2618-7,MetHgb MFr RBC
2619-5,MetHgb RBC Ql
26403-6,A alternata IgG4 Qn
26404-4,Deprecated A alternata IgG4 RAST Ql
26444-0,Basophils # Bld
26445-7,Basophils NFr Spec
26449-9,Eosinophil # Bld
26450-7,Eosinophil NFr Bld
26451-5,Eosinophil NFr CSF
26452-3,Eosinophil NFr Fld
26474-7,Lymphocytes # Bld
26475-4,Lymphocytes # CSF
26476-2,Lymphocytes # Fld
26477-0,Variant Lymphs # Bld
26478-8,Lymphocytes NFr Bld
26479-6,Lymphocytes NFr CSF
26480-4,Lymphocytes NFr Pcar
26481-2,Lymphocytes NFr Plr
26482-0,Lymphocytes NFr Prt
26483-8,Lymphocytes NFr Snv
26484-6,Monocytes # Bld
26485-3,Monocytes NFr Bld
26486-1,Monocytes NFr CSF
26487-9,Monocytes NFr Fld
26488-7,Monocytes NFr Prt
26499-4,Neutrophils # Bld
26500-9,Neutrophils # CSF
26501-7,Neutrophils # Plr
26502-5,Neutrophils # Prt
26503-3,Neutrophils # Smn
26504-1,Neutrophils # Snv
26505-8,Neuts Seg NFr Bld
26506-6,Neuts Seg NFr CSF
26507-4,Neuts Band # Bld
26508-2,Neuts Band NFr Bld
26509-0,Neuts Band NFr CSF
26510-8,Neuts Band NFr Fld
26511-6,Neutrophils NFr Bld
26512-4,Neutrophils NFr CSF
26513-2,Neutrophils NFr Fld
26514-0,Neutrophils NFr Prt
2652-6,NADH Dehydrog RBC-cCnc
26525-6,Cortis F 24h p ACTH 24h Ur-mCnc
26526-4,Cortis F 48h p ACTH 24h Ur-mCnc
26527-2,Cortis F 72h p ACTH 24h Ur-mCnc
26528-0,Cortis 1h p ACTH SerPl-mCnc
26529-8,Cortis 24h p ACTH SerPl-mCnc
26530-6,Cortis 30M p ACTH SerPl-mCnc
26531-4,Cortis 32h p ACTH SerPl-mCnc
26532-2,Cortis 48h p ACTH SerPl-mCnc
26533-0,Cortis 56h p ACTH SerPl-mCnc
26534-8,Cortis 8h p ACTH SerPl-mCnc
26535-5,Cortis 30M p ACTH SerPl-sCnc
26536-3,Cortis 1h p ACTH SerPl-sCnc
26537-1,Glucose 2.5h p Glc Ur Ql Strip
26538-9,Glucose 3.5h p Glc Ur Ql Strip
26539-7,Glucose 45M p Glc SerPl-mCnc
26540-5,Glucose 3h p Glc Ur-mCnc
26541-3,Glucose 4h p Glc SerPl-mCnc
26542-1,Glucose 5h p Glc Ur-mCnc
26543-9,Glucose 5h p Glc SerPl-mCnc
26544-7,Glucose 6h p Glc SerPl-mCnc
26545-4,Glucose 6h p Glc Ur-mCnc
26546-2,Glucose 1h p Glc Ur Ql Strip
26547-0,Glucose 2h p Glc Ur Ql Strip
26548-8,Glucose 30M p Glc Ur Ql Strip
26549-6,Glucose 3h p Glc Ur Ql Strip
26550-4,Glucose 4h p Glc Ur Ql Strip
26551-2,Glucose 5h p Glc Ur Ql Strip
26552-0,Glucose 6h p Glc Ur Ql Strip
26553-8,Glucose 1.5h p Glc Ur Ql Strip
26554-6,Glucose 2.5h p Glc SerPl-mCnc
26555-3,Glucose 3.5h p Glc SerPl-mCnc
26567-8,Lymphs IgA/lymph NFr Spec
26582-7,Hcys/Creat Ur-sRto
26593-4,Ethanolamine CSF-sCnc
266-7,Gentamicin Islt MLC
26608-0,Ethanolamine SerPl-sCnc
26681-7,Deprecated S pneum23 Ab Ser-mCnc
26692-4,Deprecated S pneum19 Ab Ser-mCnc
26693-2,Deprecated S pneum12f Ab Ser-mCnc
267-5,Gentamicin Islt MIC
26701-3,Deprecated S pneum9 Ab Ser-mCnc
26708-8,Magnesium Stl-sCnt
26717-9,PETN Bld-sCnc
26746-8,Magnesium RBC-mCnc
26749-2,Urea nit sp2 DiafP-mCnc
26754-2,S pneum Da 7F Ab Ser-mCnc
26755-9,S pneum Da 18C Ab Ser-mCnc
26761-7,Sodium Cl 2h Ur+SerPl-vRate
26762-5,Chloride Ur-aCnc
26763-3,Sodium 2h Ur-mRate
26770-8,TCA/Creat Ur
268-3,Gentamicin Islt KB
26801-1,Prot 12h Ur-mRate
26803-7,Ethanolamine 24h Ur Ql
26821-9,LDL Fld Ql
26822-7,HDL Fld Ql
26826-8,Testost 24h Ur-mCnc
26827-6,Testost/Creat 24h Ur
26828-4,Cortis Sal-aCnc
26875-5,Deprecated S pneum4 Ab Ser-mCnc
26876-3,Deprecated S pneum 1 Ab Ser-mCnc
26879-7,T3 Sal-mCnc
2688-0,OMPdecase Ser-cCnc
269-1,Gentamicin Titr SBT
26916-7,Vit B12 Bld Ql
26917-5,Deprecated S pneum23 Ab Ser-mCnc
26924-1,Cancer Ag19-9 Fld-aCnc
26931-6,C4 SerPl-aCnc
26939-9,Deprecated S pneum19 Ab Ser-mCnc
26941-5,Deprecated S pneum9 Ab Ser-mCnc
26951-4,A alternata IgG Ser-mCnc
26987-8,Pentachlorophen/Creat Ur
26996-9,C7 SerPl-aCnc
27000-9,T4 Sal-mCnc
27021-5,N gonorrhoea Ab Titr CSF CF
27037-1,Calcium/Creat 2h Ur
27039-7,Ammonia 24h Ur-mCnc
2708-6,SaO2 % BldA
27088-4,Folate Bld Ql
2709-4,SaO2 % BldC
27091-8,Calcium 4h Ur-mRate
27092-6,Deprecated S pneum 1 IgG Ser-mCnc
27094-2,Deprecated S pneum4 IgG Ser-mCnc
27096-7,Deprecated S pneum3 IgG Ser-mCnc
2710-2,Deprecated SaO2 % BldC Oximetry
2711-0,SaO2 % BldV
27113-0,Deprecated S pneum8 IgG Ser-mCnc
27117-1,Cadmium RBC-mCnt
27118-9,S pneum Da 6B IgG Ser-mCnc
27119-7,Deprecated S pneum23 Ab sp2 Ser-mCnc
2712-8,Deprecated O2 Satn from pCO2 Fr Bld
27122-1,Magnesium RBC-mCnt
27123-9,Phosphate RBC-mCnt
27124-7,Copper RBC-mCnt
27125-4,Zinc RBC-mCnt
27126-2,Deprecated S pneum14 Ab sp2 Ser-mCnc
27128-8,Deprecated S pneum12 Ab sp2 Ser-mCnc
2713-6,SaO2 % Bld from pO2
27130-4,Mercury RBC-mCnt
27137-9,Antimony RBC-mCnt
27138-7,Deprecated S pneum23 Ab sp1 Ser-mCnc
27139-5,Deprecated S pneum7f IgG Ser-mCnc
27141-1,Deprecated S pneum 1 Ab sp1 Ser-mCnc
27142-9,Deprecated S pneum3 Ab sp1 Ser-mCnc
27143-7,Deprecated S pneum4 Ab sp1 Ser-mCnc
27144-5,Deprecated S pneum8 Ab sp1 Ser-mCnc
27145-2,Deprecated S pneum9 Ab sp1 Ser-mCnc
27146-0,Deprecated S pneum12 Ab sp1 Ser-mCnc
27147-8,Deprecated S pneum19 Ab sp2 Ser-mCnc
27148-6,Deprecated S pneum19 Ab sp1 Ser-mCnc
27152-8,Deprecated S pneum 1 Ab sp2 Ser-mCnc
27153-6,Deprecated S pneum3 Ab sp2 Ser-mCnc
27154-4,Deprecated S pneum4 Ab sp2 Ser-mCnc
27155-1,Deprecated S pneum6 Ab sp2 Ser-mCnc
27156-9,Deprecated S pneum8 Ab sp2 Ser-mCnc
27157-7,Deprecated S pneum9 Ab sp2 Ser-mCnc
27158-5,Deprecated S pneum14 Ab sp1 Ser-mCnc
27172-6,Calcium 24h Stl-mCnt
27182-5,Calcium Bld Ql
27198-1,Bilirub Amn Spectrp dir-aCnc
27210-4,Magnesium Bld Ql
27220-3,H capsul Myc Ab Titr CSF CF
27227-8,Deprecated S pneum 1 IgG Ser IA-mCnc
27228-6,Deprecated S pneum3 IgG Ser IA-mCnc
27229-4,Deprecated S pneum14 IgG Ser IA-mCnc
27230-2,Deprecated S pneum19 IgG Ser IA-mCnc
27231-0,Deprecated S pneum23 IgG Ser IA-mCnc
27255-9,Magnesium 24h Stl-sCnt
27257-5,Sodium 24h Stl-sCnt
27261-7,PV Ab Titr Ser CF
27298-9,Prot Ur-aCnc
27306-0,Testost Sal Ql
27330-0,Insulin 1.5h p chal SerPl-aCnc
27340-9,HDLc SerPl Ql
27345-8,Hgb A2 Bld Ql Elph
27353-2,Est. average glucose Bld gHb Est-mCnc
27355-7,VLDL Plr Ql
27372-2,Insulin 20M p chal SerPl-aCnc
27373-0,Calcium Dial fld-mCnc
27374-8,Deprecated S pneum12 IgG Ser-mCnc
27376-3,Deprecated C peptide SerPl-mCnc
27379-7,Insulin 1h p chal SerPl-aCnc
27387-0,Deprecated S pneum14 IgG Ser-mCnc
27388-8,Deprecated S pneum26 IgG Ser-mCnc
27389-6,Deprecated S pneum23 IgG Ser-mCnc
27390-4,Deprecated S pneum19 IgG Ser-mCnc
27392-0,Deprecated S pneum9 IgG Ser-mCnc
27393-8,Deprecated S pneum23f IgG Ser-mCnc
27395-3,S pneum Da 18C IgG Ser-mCnc
27396-1,Hgb Stl gastro-mCnt
27397-9,Deprecated S pneum12f IgG Ser-mCnc
27398-7,Deprecated S pneum9n IgG Ser-mCnc
27401-9,Hgb sp6 Stl gastro Ql
27405-0,Deprecated S pneum56 IgG Ser-mCnc
27406-8,Deprecated S pneum19f IgG Ser-mCnc
27408-4,C peptide 20M p chal SerPl-mCnc
27411-8,Iron/Creat Ur
27414-2,Fungus Stl Cult
27419-1,Sodium 24h Stl-sRate
27421-7,C peptide 40M p chal SerPl-mCnc
2744-1,pH BldA
27441-5,Potassium 24h Stl-sCnt
27444-9,Insulin 40M p chal SerPl-aCnc
2745-8,pH BldC
2746-6,pH BldV
2757-3,Phenol Bld-mCnc
2761-5,Phenylketones Bld Ql
2762-3,Phe Bld-mCnc
2770-6,Phenylpyruvate Bld-mCnc
2774-8,Phosphate Bld-mCnc
2775-5,Phosphate Dial fld-mCnc
2776-3,Phosphate Cl 24h Ur+SerPl-vRate
2777-1,Phosphate SerPl-mCnc
2778-9,Phosphate Ur-mCnc
2779-7,Phosphate 24h Ur-mRate
2780-5,Phosphate Ur Ql
2781-3,Deprecated Phosphate Ur-mCnc
2782-1,Deprecated Phosphate 24H Ur-mRate
27826-7,Insulin 2h p chal SerPl-aCnc
