code,generic_name,brand_name,dosage_form
0220-4170,PRUNUS SPINOSA FLOWER BUD,Prunus spinosa,PELLET
0220-4174,PTELEA TRIFOLIATA BARK,Ptelea trifoliata,PELLET
0220-4175,PRUNUS SPINOSA FLOWER BUD,Prunus spinosa,PELLET
0220-4178,ANEMONE PATENS,Pulsatilla,PELLET
0220-4180,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4181,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4182,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4183,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4184,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4185,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4186,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4190,RANCID BEEF,Pyrogenium,PELLET
0220-4193,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4194,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4197,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4198,ANEMONE PULSATILLA,Pulsatilla,PELLET
0220-4201,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4202,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4203,PHYTOLACCA AMERICANA ROOT,PHYTOLACCA DECANDRA,PELLET
0220-4204,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4205,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4206,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4207,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4208,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4209,PHYTOLACCA AMERICANA ROOT,Phytolacca decandra,PELLET
0220-4212,RANCID BEEF,Pyrogenium,PELLET
0220-4215,RANCID BEEF,Pyrogenium,PELLET
0220-4216,RANCID BEEF,PYROGENIUM,PELLET
0220-4252,ASPIDOSPERMA QUEBRACHO-BLANCO BARK,Quebracho,PELLET
0220-4253,ASPIDOSPERMA QUEBRACHO-BLANCO BARK,QUEBRACHO,PELLET
0220-4307,RADIUM BROMIDE,Radium bromatum,PELLET
0220-4309,RADIUM BROMIDE,Radium bromatum,PELLET
0220-4310,RADIUM BROMIDE,Radium bromatum,PELLET
